_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,FTH_PRIORITY,FTH_ORGANIZATION,FTH_FAITH,FTH_DENOMINATION,FTH_GROUPING,FTH_PHONE,FTH_EXTENSION,FTH_FAX,FTH_CELL,FTH_HOME,FTH_SALUTATION,FTH_FIRST_NAME,FTH_LAST_NAME,FTH_POSITION,FTH_EMAIL,FTH_CONTACT,FTH_WEBSITE,FTH_FORUM,WARD_NAME,WARD_NUMBER,COMM_COUNCIL_NAME,COMM_COUNCIL_CODE,NEIGHBOURHOOD_NAME,geometry
11,7586461,512,Dovercourt Rd,512 Dovercourt Rd,M6H2W4,former TORONTO,Toronto,,100001,7586419,512,,,,3317,,,,,11,,Apostles Of Infinite Love,Christian,,,,,,,,,,,,,,,,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Dufferin Grove (83),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42739673675932, 43.6553651189732]]}"
12,8352094,631,Crawford St,631 Crawford St,M6G3K1,former TORONTO,Toronto,,115001,14020092,631,,,,3236,,,,,12,,Crawford Street Church,Christian,,,4165357700,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Palmerston-Little Italy (80),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4209031811829, 43.6606379681481]]}"
13,837360,469,Manning Ave,469 Manning Ave,M6G 2V6,former TORONTO,Toronto,The Church Of St Mary Magdal,109001,1144042,469,,,,3909,,,,,13,,Church Of St Mary Magdalene,Christian,,,,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Palmerston-Little Italy (80),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41376876650202, 43.6590198128368]]}"
14,9086447,456,College St,456 College St,M6G4A3,former TORONTO,Toronto,College Street United Church,109001,9135190,456,,,,9765,,,,,14,,College Street United Church,Christian,,,4169293019,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Palmerston-Little Italy (80),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40836629244, 43.6566163183154]]}"
15,9942204,297,College St,297 College St,M5T1S2,former TORONTO,Toronto,,115001,14022730,297,,,,9765,,,,,15,,Zen Buddhist Temple,Buddhist,,,4166580137,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Kensington-Chinatown (78),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4014702835497, 43.6571925468164]]}"
16,10736588,427,Bloor St W,427 Bloor St W,M5S1X7,former TORONTO,Toronto,Bathurst United Church,109001,10736589,427,,,,458,,,,,16,,Bathurst United Church,Christian,,,4169214967,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,University (79),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4057078200763, 43.6660393910677]]}"
17,772773,300,Bloor St W,300 Bloor St W,M5S1W3,former TORONTO,Toronto,Bloor St United Church,109001,1142672,300,,,,458,,,,,17,,Bloor St United Church,Christian,,,4169247439,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Annex (95),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4020147989726, 43.6673945956113]]}"
18,8408601,455,Huron St,455 Huron St,M5R3P2,former TORONTO,Toronto,Covenant Christian House,109001,8408600,455,,,,3716,,,,,18,,Covenant Christian Church,Christian,,,4169232020,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Annex (95),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4014384578797, 43.667757844022105]]}"
19,8408593,288,Bloor St W,288 Bloor St W,M5S1V8,former TORONTO,Toronto,,115001,8408589,288,,,,458,,,,,19,,Toronto Bahai Centre,Bahai,,,,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Annex (95),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4013309540226, 43.6674291395999]]}"
20,8408647,11,Madison Ave,11 Madison Ave,M5R2S2,former TORONTO,Toronto,,115001,8408614,11,,,,3896,,,,,20,,Tengye Ling Tibetan Temple,Buddhist,,,4169215066,95,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Annex (95),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4027538683267, 43.6677930316619]]}"
21,772746,162,Bloor St W,162 Bloor St W,M5S1M4,former TORONTO,Toronto,Church Of The Redeemer,109001,1142361,162,,,,458,,,,,21,,Church Of The Redeemer,Christian,,,,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Annex (95),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3940114579328, 43.6691290689968]]}"
22,7156751,465,Patricia Ave,465 Patricia Ave,M2R2N1,NORTH YORK,Toronto,Synagogue,109001,7156868,465,,,,6386,,,,,1401,,Congregation B'Nai Torah,Jewish,,,4162263700,,,,,,,,,,,,,Willowdale (18),18,NORTH YORK COMMUNITY COUNCIL,NO,Newtonbrook West (36),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4440107260137, 43.7840867068011]]}"
23,8566510,55,Maitland St,55 Maitland St,M4Y1C9,former TORONTO,Toronto,,100002,14234771,55,,,,3899,,,,,22,50,Nalandabodhi Toronto Study Group,Buddhist,Tibetan,Vajrayana,(416) 925-2699,,,,,Dzogchen,Ponlop,Rinpoche,Spiritual Head,study@nbtoronto.org,,,,Toronto Centre (13),13,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Church-Yonge Corridor (75),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3816012908919, 43.6641077990672]]}"
24,7754748,25,St Nicholas St,25 St Nicholas St,M4Y1W5,former TORONTO,Toronto,,104008,20034713,25,,,,4468,,,,,23,50,Toronto Diamond Way Buddhist Center,Buddhist,Tibetan,Vajrayana,(416) 925-4494,,,(416) 729-9205,,Ms.,Daria,Novoselova,Contact Person,toronto@diamondway-center.org,,www.diamondway.org/toronto,,Toronto Centre (13),13,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Bay Street Corridor (76),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3856262021479, 43.6656489473716]]}"
25,781443,22,Cecil St,22 Cecil St,M5T1N2,former TORONTO,Toronto,,100001,14042389,22,,,,3137,,,,,24,50,Canadian Chinese Buddhist Ming-Yuet Society,Buddhist,Chinese,Mahayana,(416) 598-4596,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Kensington-Chinatown (78),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3959766472182, 43.65706633253631]]}"
26,14189020,24,Cecil St,24 Cecil St,M5T1N2,former TORONTO,Toronto,,107010,14042389,24,,,,3137,,,,,25,,Church Of The Toronto Nians,Christian,,,,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Kensington-Chinatown (78),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3961530555589, 43.6569522297895]]}"
27,7795685,204,Beverley St,204 Beverley St,M5T1Z1,former TORONTO,Toronto,,100001,7795670,204,,,,3002,,,,,26,50,Chuen Te Buddhist Society,Buddhist,Chinese,Mahayana,(416) 595-5233,,,,,Mr.,,Lam,Contact Person,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Kensington-Chinatown (78),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3952229173323, 43.6567800133284]]}"
28,771736,177,Beverley St,177 Beverley St,M5T1Y7,former TORONTO,Toronto,Toronto Chinese Presbyterian,109001,1144653,177,,,,3002,,,,,27,,Chinese Presbyterian Church,Christian,,,4169775625,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Kensington-Chinatown (78),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3942478548912, 43.6555691898054]]}"
29,14188929,197,John St,197 John St,M5T1X6,former TORONTO,Toronto,,115001,2842544,197,,,,9747,,,,,28,,Church Of St George,Christian,,,4165984366,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Kensington-Chinatown (78),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3909642148421, 43.651537359269]]}"
30,7804400,450,Dundas St W,450 Dundas St W,M5T1G7,former TORONTO,Toronto,Chinese Gospel Church,109001,14022793,450,,,,558,,,,,29,,Chinese Gospel Church,Christian,,,4169772530,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Kensington-Chinatown (78),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.396035929332, 43.6535766160016]]}"
31,7576393,257,Euclid Ave,257 Euclid Ave,M6J2K1,former TORONTO,Toronto,,100001,14019181,257,,,,9805,,,,,30,,Assemblies Of The First Born,Christian,,,4168641936,,,,,,,,,,,,,University-Rosedale (11),11,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Trinity-Bellwoods (81),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4098750100413, 43.6527031529312]]}"
32,9085339,300,Bathurst St,300 Bathurst St,M5T2S3,former TORONTO,Toronto,,115001,14018241,300,,,,436,,,,,31,50,Buddhist Education Foundation for Canada,Buddhist,Non-Profit,,(416) 993-1940,,,,,Mr.,Chris,Ng,,buddhistedufoundation@rogers.com,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Trinity-Bellwoods (81),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4057689646353, 43.6507693026399]]}"
33,9085339,300,Bathurst St,300 Bathurst St,M5T2S3,former TORONTO,Toronto,,115001,14018241,300,,,,436,,,,,32,50,Tai Bay Buddhist Temple,Buddhist,Pure Land,Mahayana,(416) 603-8889,,(416) 603-1608,,,Ven.,Wu De,Fa Shi,Teacher,lucy_chang@maritimelife.ca,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Trinity-Bellwoods (81),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4057689646353, 43.6507693026399]]}"
34,9085339,300,Bathurst St,300 Bathurst St,M5T2S3,former TORONTO,Toronto,,115001,14018241,300,,,,436,,,,,33,,Ching Kwok Buddhist Temple,Buddhist,,,4166038889,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Trinity-Bellwoods (81),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4057689646353, 43.6507693026399]]}"
35,9085330,276,Bathurst St,276 Bathurst St,M5T2S3,former TORONTO,Toronto,Church Of The Assumption,109001,14018241,276,,,,436,,,,,34,,Church Of The Assumption,Christian,,,4166038049,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Trinity-Bellwoods (81),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4054792197317, 43.6500964277591]]}"
36,783191,20,Claremont St,20 Claremont St,M6J2M4,former TORONTO,Toronto,Chinese Grace Baptist Church,109001,1146109,20,,,,3172,,,,,35,,Chinese Grace Baptist Church,Christian,,,,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Trinity-Bellwoods (81),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101637395164, 43.6469292497278]]}"
37,10476742,573,Queen St W,573 Queen St W,M5V2B6,former TORONTO,Toronto,,115001,14035954,573,,,,4238,,,,,36,,Evangel Hall,Christian,,,4165043563,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Waterfront Communities-The Islands (77),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4010048445952, 43.647581881384]]}"
38,7553593,185,Niagara St,185 Niagara St,M5V1C9,former TORONTO,Toronto,,109001,14025058,185,,,,4060,,,,,37,,Fu Sien Buddhist Temple,Buddhist,,,,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Niagara (82),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4070021890348, 43.6420705633578]]}"
39,787320,201,Cowan Ave,201 Cowan Ave,M6K 2N7,former TORONTO,Toronto,Church Of The Epiphany & St Mark,109001,14042484,201,,,,3232,,,,,38,,Church Of The Epiphany & St,Christian,,,4165314037,,,,,,,,,,,,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,South Parkdale (85),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4322884573767, 43.6407462413384]]}"
40,8168547,250,Dunn Ave,250 Dunn Ave,M6K2R9,former TORONTO,Toronto,Bonar-Parkdale Presbyterian Church,109001,14036280,250,,,,3339,,,,,39,,Bonar-Parkdale Presbyterian,Christian,,,4165323729,,,,,,,,,,,,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,South Parkdale (85),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4346084358802, 43.6401402510603]]}"
41,7570892,1000,Queen St W,1000 Queen St W,M6J 1H1,former TORONTO,Toronto,,109001,7570878,1000,,,,4238,,,,,40,,Nine Mountains Zem Gate Soc.,Buddhist,,,,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Trinity-Bellwoods (81),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4187190790293, 43.6444351537813]]}"
42,856903,1089,Queen St W,1089 Queen St W,,former TORONTO,Toronto,,107010,1146584,1089,,,,4238,,,,,41,,Church In The Great Hall,Christian,,,4165333241,,,,,,,,,,,,,Spadina-Fort York (10),10,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Niagara (82),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4221070266197, 43.6432879203444]]}"
43,14189414,1120A,Queen St W,1120A Queen St W,M6J 1H9,former TORONTO,Toronto,,107010,1146609,1120,A,,,4238,,,,,42,50,Amida Temple,Buddhist,Pure Land,Mahayana,(416) 533-3200,,,,,Rev.,Thich,Chan Bon,Resident Director and Teacher,,,www.anlac.ca,,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Little Portugal (84),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42348055549161, 43.6434507556648]]}"
44,14189414,1120A,Queen St W,1120A Queen St W,M6J 1H9,former TORONTO,Toronto,,107010,1146609,1120,A,,,4238,,,,,43,,Chua Adida,Christian,,,4165535838,,,,,,,,,,,,,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Little Portugal (84),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42348055549161, 43.6434507556648]]}"
45,11129601,255,Finch Ave W,255 Finch Ave W,M2R1M8,NORTH YORK,Toronto,Northminster United Church,109001,11129595,255,,,,1610,,,,,1402,,United Church Of Canada,Christian,,,4162257941,,,,,,,,,,,,,Willowdale (18),18,NORTH YORK COMMUNITY COUNCIL,NO,Willowdale West (37),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4375886169045, 43.774406830172005]]}"
46,11063332,2021,Lawrence Ave E,2021 Lawrence Ave E,M1R2Z2,SCARBOROUGH,Toronto,,115001,11048250,2021,,,,3828,,,,,44,10,Salvation Army Scarborough Citadel,Christian,Salvation Army,Evangelical,(416) 759-1721,,,(416) 510-8509,,Major,Gillian,Brown,Adminstration,gilliancameronbrown@yahoo.ca,Local,,,Scarborough Centre (21),21,SCARBOROUGH COMMUNITY COUNCIL,EA,Wexford/Maryvale (119),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2950100088526, 43.7450477658898]]}"
47,845380,54,Moutray St,54 Moutray St,M6K1W5,former TORONTO,Toronto,The Portuguese Assembly Of God Chruch,109001,1145359,54,,,,4029,,,,,45,,Church Of The First Born Apo,Christian,,,4165399511,,,,,,,,,,,,,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Little Portugal (84),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4351296400017, 43.651654152963]]}"
48,776958,311,Brock Ave,311 Brock Ave,M6K2M5,former TORONTO,Toronto,Brock Ave Gospel Hall,109001,1145573,311,,,,3066,,,,,46,,Brock Ave Gospel Hall,Christian,,,4165371735,,,,,,,,,,,,,Davenport (9),9,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Little Portugal (84),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43561065633462, 43.6503705789337]]}"
49,9038799,98,Finch Ave W,98 Finch Ave W,M2N2H7,NORTH YORK,Toronto,North Toronto Chinese Baptist,109001,9038792,98,,,,1610,,,,,1403,,Yorkview Height Baptist Chur,Christian,,,,,,,,,,,,,,,,Willowdale (18),18,NORTH YORK COMMUNITY COUNCIL,NO,Newtonbrook West (36),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4239247219898, 43.7783652831366]]}"
50,8211451,2550,Danforth Ave,2550 Danforth Ave,M4C1L2,former TORONTO,Toronto,Hope United Church,109001,8211438,2550,,,,86,,,,,47,8,Hope United Ministries,Christian,,Evangelical,(905) 621-0850,,,,,Mr.,Joel,Woodburn,Minister,joel.woodburn@hopeuc.com,Local,,,Beaches-East York (19),19,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,East End-Danforth (62),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3021958932347, 43.6882611104361]]}"
51,804902,56,Fern Ave,56 Fern Ave,M6R1K1,former TORONTO,Toronto,,100001,14017248,56,,,,591,,,,,48,50,Centre of Gravity Sangha,Buddhist,Western,Other,(416) 631-4260,,,,,Mr.,Michael,Stone,Meditation Instructor,info@mindbodypsychotherapy.com,,www.mindbodypsychotherapy.com,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Roncesvalles (86),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4425218896551, 43.645902015831]]}"
52,11186952,1A,Howard Park Ave,1A Howard Park Ave,M6R1V3,former TORONTO,Toronto,,115001,14017346,1,A,,,3700,,,,,49,,Chua Linh-Son,Buddhist,,,,,,,,,,,,,,,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,Roncesvalles (86),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4487459295892, 43.6518250556149]]}"
53,820460,33,High Park Gdns,33 High Park Gdns,M6R1S8,former TORONTO,Toronto,,109001,1145821,33,,,,3662,,,,,50,,Toronto Zen Centre,Buddhist,,,4167663400,,,,,,,,,,,,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,High Park-Swansea (87),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.457000110793, 43.6487307929546]]}"
54,860902,240,Roncesvalles Ave,240 Roncesvalles Ave,M6R2L8,former TORONTO,Toronto,,109001,1146413,240,,,,4310,,,,,51,,Emanuel Howard Park United C,Christian,,,4165361755,,,,,,,,,,,,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,High Park-Swansea (87),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4492164716448, 43.6455631878433]]}"
55,8008226,214,Wright Ave,214 Wright Ave,M6R1L3,former TORONTO,Toronto,Emmanuel-Howard Park,109001,8008229,214,,,,972,,,,,52,9,Mindfulness Practice Community,Buddhist,Western,Other,,,,,,Mr.,Minh,Nguyen,Coordinator,thuonghy@yahoo.com,,www.mindfulnesspractice.ca,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,High Park-Swansea (87),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4489178760882, 43.6456204385317]]}"
56,860860,150,Roncesvalles Ave,150 Roncesvalles Ave,,former TORONTO,Toronto,St Casmirs Roman Catholic,109001,1146597,150,,,,4310,,,,,53,,Roman Catholic Episcopal,Catholic,,,4165322822,,,,,,,,,,,,,Parkdale-High Park (4),4,TORONTO AND EAST YORK COMMUNITY COUNCIL,SO,High Park-Swansea (87),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4484378372591, 43.6438037105281]]}"
57,6314764,2305,Bloor St W,2305 Bloor St W,M6S1P1,former TORONTO,Toronto,St Puis Church,109001,6314757,2305,,,,458,,,,,54,,St Pius X Church,Catholic,,,,,,,,,,,,,,,,Parkdale-High Park (4),4,ETOBICOKE YORK COMMUNITY COUNCIL,WE,High Park-Swansea (87),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.479342327998, 43.6501964406124]]}"
58,7577005,293,South Kingsway,293 South Kingsway,M6S3V4,former TORONTO,Toronto,Farmer Memorial Baptist Church,109001,7576999,293,,,,4422,,,,,55,,Farmer Memorial Baptist Chur,Christian,,,4167623061,,,,,,,,,,,,,Parkdale-High Park (4),4,ETOBICOKE YORK COMMUNITY COUNCIL,WE,High Park-Swansea (87),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4843775142958, 43.6479171132587]]}"
59,988255,2850,Bloor St W,2850 Bloor St W,M8X1B2,ETOBICOKE,Toronto,All Saints Kingsway Anglican Church,109001,911284,2850,,,,458,,,,,56,,All Saints Church,Christian,,,4162446195,,,,,,,,,,,,,Etobicoke-Lakeshore (3),3,ETOBICOKE YORK COMMUNITY COUNCIL,WE,Kingsway South (15),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5050543363765, 43.6490805592046]]}"
60,982861,15,Aldgate Ave,15 Aldgate Ave,,ETOBICOKE,Toronto,Trustees Of Parkdale Church,109001,912907,15,,,,1021,,,,,57,,Church Of The Transfiguratio,Christian,,,,,,,,,,,,,,,,Etobicoke-Lakeshore (3),3,ETOBICOKE YORK COMMUNITY COUNCIL,WE,Stonegate-Queensway (16),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4868330424665, 43.6306815012844]]}"
